label,operations,runTimeMs,ops
0,156707,60001,2611.7833333333333
5000000,24106,60000,401.76666666666665
10000000,19083,60001,318.05
15000000,16295,60000,271.5833333333333
20000000,14250,60000,237.5
25000000,15874,60001,264.56666666666666
30000000,15236,60000,253.93333333333334
35000000,12771,60000,212.85
40000000,13701,60000,228.35
45000000,13137,60000,218.95
50000000,12219,60001,203.65
55000000,12816,60001,213.6
60000000,11316,60000,188.6
65000000,11342,60000,189.03333333333333
70000000,11933,60000,198.88333333333333
75000000,10984,60001,183.06666666666666
80000000,9141,60000,152.35
85000000,9710,60000,161.83333333333334
90000000,9843,60000,164.05
95000000,9562,60001,159.36666666666667
100000000,9201,60000,153.35
105000000,8632,60000,143.86666666666667
110000000,8730,60000,145.5
115000000,9111,60000,151.85
120000000,8696,60001,144.93333333333334
125000000,8668,60000,144.46666666666667
130000000,8217,60000,136.95
135000000,7698,60000,128.3
140000000,8056,60000,134.26666666666668
145000000,6995,60000,116.58333333333333
150000000,6337,60000,105.61666666666666
155000000,5636,60001,93.93333333333334
160000000,5581,60000,93.01666666666667
165000000,4958,60001,82.63333333333334
170000000,5318,60000,88.63333333333334
175000000,4491,60000,74.85
180000000,4486,60000,74.76666666666667
185000000,4628,60001,77.13333333333334
190000000,4553,60000,75.88333333333334
195000000,4452,60000,74.2
200000000,4421,60001,73.68333333333334
205000000,3721,60000,62.016666666666666
210000000,3722,60000,62.03333333333333
215000000,3593,60000,59.88333333333333
220000000,3326,60000,55.43333333333333
225000000,2678,60000,44.63333333333333
230000000,2184,60000,36.4
235000000,2002,60001,33.36666666666667
240000000,2267,60000,37.78333333333333
245000000,2076,60000,34.6
250000000,1872,60000,31.2
255000000,2233,60000,37.21666666666667
260000000,2076,60001,34.6
265000000,1929,60000,32.15
270000000,1948,60000,32.46666666666667
275000000,1810,60000,30.166666666666668
280000000,1881,60000,31.35
285000000,1700,60000,28.333333333333332
290000000,1671,60001,27.85
295000000,1511,60000,25.183333333333334
300000000,731,60000,12.183333333333334
