label,operations,runTimeMs,ops
0,405179,60001,6752.983333333334
5000000,439094,60001,7318.233333333334
10000000,404781,60000,6746.35
15000000,443225,60000,7387.083333333333
20000000,381092,60000,6351.533333333334
25000000,413588,60000,6893.133333333333
30000000,368863,60000,6147.716666666666
35000000,449541,60000,7492.35
40000000,327125,60001,5452.083333333333
45000000,416010,60000,6933.5
50000000,358390,60000,5973.166666666667
55000000,436652,60001,7277.533333333334
60000000,370000,60000,6166.666666666667
65000000,407341,60000,6789.016666666666
70000000,321783,60000,5363.05
75000000,420147,60000,7002.45
80000000,440253,60000,7337.55
85000000,459260,60000,7654.333333333333
90000000,450659,60001,7510.983333333334
95000000,475478,60000,7924.633333333333
100000000,454505,60000,7575.083333333333
105000000,451894,60000,7531.566666666667
110000000,480207,60000,8003.45
115000000,452199,60001,7536.65
120000000,449958,60000,7499.3
125000000,476915,60001,7948.583333333333
130000000,463185,60000,7719.75
135000000,461763,60000,7696.05
140000000,480673,60000,8011.216666666666
145000000,475804,60000,7930.066666666667
150000000,369599,60000,6159.983333333334
155000000,469097,60000,7818.283333333334
160000000,459196,60000,7653.266666666666
165000000,500000,60000,8333.333333333334
170000000,477431,60000,7957.183333333333
175000000,406929,60000,6782.15
180000000,390376,60000,6506.266666666666
185000000,387979,60000,6466.316666666667
190000000,397689,60000,6628.15
195000000,346778,60000,5779.633333333333
200000000,375520,60001,6258.666666666667
205000000,400656,60000,6677.6
210000000,396703,60000,6611.716666666666
215000000,420921,60000,7015.35
220000000,367690,60001,6128.166666666667
225000000,324934,60000,5415.566666666667
230000000,391682,60000,6528.033333333334
235000000,403944,60000,6732.4
240000000,388890,60000,6481.5
245000000,381875,60000,6364.583333333333
250000000,374006,60000,6233.433333333333
255000000,435374,60000,7256.233333333334
260000000,368216,60000,6136.933333333333
265000000,379473,60000,6324.55
270000000,377712,60000,6295.2
275000000,361127,60000,6018.783333333334
280000000,391683,60001,6528.05
285000000,330953,60000,5515.883333333333
290000000,414873,60000,6914.55
295000000,352037,60000,5867.283333333334
300000000,443320,60000,7388.666666666667
