label,operations,runTimeMs,ops
0,26611,60000,443.51666666666665
5000000,15858,60000,264.3
10000000,13783,60000,229.71666666666667
15000000,13183,60000,219.71666666666667
20000000,12353,60000,205.88333333333333
25000000,11451,60001,190.85
30000000,10120,60000,168.66666666666666
35000000,9998,60000,166.63333333333333
40000000,10648,60000,177.46666666666667
45000000,9773,60000,162.88333333333333
50000000,9530,60000,158.83333333333334
55000000,8607,60000,143.45
60000000,7961,60000,132.68333333333334
65000000,8707,60000,145.11666666666667
70000000,8055,60000,134.25
75000000,8225,60000,137.08333333333334
80000000,7217,60000,120.28333333333333
85000000,6656,60000,110.93333333333334
90000000,7279,60000,121.31666666666666
95000000,6910,60000,115.16666666666667
100000000,6839,60000,113.98333333333333
105000000,5379,60000,89.65
110000000,5817,60000,96.95
115000000,6109,60000,101.81666666666666
120000000,6232,60000,103.86666666666666
125000000,5859,60000,97.65
130000000,5832,60000,97.2
135000000,5277,60000,87.95
140000000,5241,60000,87.35
145000000,4970,60000,82.83333333333333
150000000,3439,60000,57.31666666666667
155000000,3377,60000,56.28333333333333
160000000,3509,60000,58.483333333333334
165000000,3142,60000,52.36666666666667
170000000,3294,60000,54.9
175000000,3030,60000,50.5
180000000,2629,60000,43.81666666666667
185000000,2902,60000,48.36666666666667
190000000,2838,60000,47.3
195000000,2379,60000,39.65
200000000,2352,60000,39.2
205000000,2329,60000,38.81666666666667
210000000,2117,60000,35.28333333333333
215000000,2249,60000,37.483333333333334
220000000,1556,60000,25.933333333333334
225000000,1215,60000,20.25
230000000,1368,60000,22.8
235000000,1278,60000,21.3
240000000,1344,60001,22.4
245000000,1170,60000,19.5
250000000,1288,60000,21.466666666666665
255000000,1272,60001,21.2
260000000,1240,60000,20.666666666666668
265000000,1191,60000,19.85
270000000,1070,60001,17.833333333333332
275000000,1189,60000,19.816666666666666
280000000,1165,60000,19.416666666666668
285000000,1110,60001,18.5
290000000,1021,60000,17.016666666666666
295000000,505,60001,8.416666666666666
300000000,513,60000,8.55
