label,operations,runTimeMs,ops
0,4512,60000,75.2
5000000,2228,60000,37.13333333333333
10000000,2086,60001,34.766666666666666
15000000,2013,60000,33.55
20000000,1951,60000,32.516666666666666
25000000,2055,60000,34.25
30000000,2193,60000,36.55
35000000,1895,60000,31.583333333333332
40000000,1978,60001,32.96666666666667
45000000,1893,60000,31.55
50000000,1862,60000,31.033333333333335
55000000,1974,60000,32.9
60000000,2143,60001,35.71666666666667
65000000,1857,60000,30.95
70000000,1868,60001,31.133333333333333
75000000,1998,60000,33.3
80000000,1891,60000,31.516666666666666
85000000,2026,60000,33.766666666666666
90000000,2082,60001,34.7
95000000,1918,60000,31.966666666666665
100000000,2293,60000,38.21666666666667
105000000,1913,60000,31.883333333333333
110000000,1891,60000,31.516666666666666
115000000,2043,60000,34.05
120000000,1914,60000,31.9
125000000,2103,60000,35.05
130000000,1987,60000,33.11666666666667
135000000,1934,60000,32.233333333333334
140000000,2091,60000,34.85
145000000,1956,60001,32.6
150000000,2314,60000,38.56666666666667
155000000,2001,60001,33.35
160000000,1856,60000,30.933333333333334
165000000,1870,60000,31.166666666666668
170000000,1920,60001,32.0
175000000,2000,60000,33.333333333333336
180000000,2055,60000,34.25
185000000,1806,60000,30.1
190000000,1828,60000,30.466666666666665
195000000,2016,60000,33.6
200000000,2143,60000,35.71666666666667
205000000,1787,60000,29.783333333333335
210000000,1762,60000,29.366666666666667
215000000,1810,60000,30.166666666666668
220000000,1869,60000,31.15
225000000,1864,60000,31.066666666666666
230000000,1734,60000,28.9
235000000,1563,60000,26.05
240000000,1712,60000,28.533333333333335
245000000,1646,60000,27.433333333333334
250000000,1488,60000,24.8
255000000,1556,60001,25.933333333333334
260000000,1684,60000,28.066666666666666
265000000,1507,60000,25.116666666666667
270000000,1530,60000,25.5
275000000,1388,60000,23.133333333333333
280000000,1577,60001,26.283333333333335
285000000,1383,60001,23.05
290000000,1313,60001,21.883333333333333
295000000,1455,60000,24.25
300000000,1249,60000,20.816666666666666
