label,operations,runTimeMs,ops
0,55829,60000,930.4833333333333
5000000,15910,60000,265.1666666666667
10000000,13200,60001,220.0
15000000,11409,60000,190.15
20000000,8404,60000,140.06666666666666
25000000,10299,60000,171.65
30000000,8041,60000,134.01666666666668
35000000,9395,60000,156.58333333333334
40000000,8147,60000,135.78333333333333
45000000,7938,60000,132.3
50000000,6459,60000,107.65
55000000,6270,60001,104.5
60000000,6497,60000,108.28333333333333
65000000,5574,60000,92.9
70000000,6066,60000,101.1
75000000,5791,60000,96.51666666666667
80000000,6111,60001,101.85
85000000,5881,60000,98.01666666666667
90000000,6107,60001,101.78333333333333
95000000,5327,60000,88.78333333333333
100000000,6001,60000,100.01666666666667
105000000,5869,60000,97.81666666666666
110000000,5030,60001,83.83333333333333
115000000,6105,60001,101.75
120000000,7270,60000,121.16666666666667
125000000,5886,60000,98.1
130000000,5392,60000,89.86666666666666
135000000,6328,60000,105.46666666666667
140000000,5679,60000,94.65
145000000,4528,60001,75.46666666666667
150000000,5138,60000,85.63333333333334
155000000,5440,60000,90.66666666666667
160000000,4766,60001,79.43333333333334
165000000,4326,60001,72.1
170000000,5324,60000,88.73333333333333
175000000,4642,60000,77.36666666666666
