label,operations,runTimeMs,ops
0,5043,60000,84.05
5000000,2713,60001,45.21666666666667
10000000,1967,60000,32.78333333333333
15000000,1612,60001,26.866666666666667
20000000,1462,60001,24.366666666666667
25000000,1434,60000,23.9
30000000,1574,60000,26.233333333333334
35000000,1605,60000,26.75
40000000,1422,60000,23.7
45000000,1172,60000,19.533333333333335
50000000,1215,60001,20.25
55000000,1210,60002,20.166666666666668
60000000,1244,60000,20.733333333333334
65000000,1235,60001,20.583333333333332
70000000,1151,60001,19.183333333333334
75000000,1177,60000,19.616666666666667
80000000,1130,60000,18.833333333333332
85000000,1141,60000,19.016666666666666
90000000,1136,60000,18.933333333333334
95000000,1167,60000,19.45
100000000,1179,60000,19.65
105000000,987,60001,16.45
110000000,1021,60001,17.016666666666666
115000000,1072,60001,17.866666666666667
120000000,1113,60000,18.55
125000000,1295,60000,21.583333333333332
130000000,1231,60000,20.516666666666666
135000000,1172,60001,19.533333333333335
140000000,1044,60000,17.4
145000000,1235,60001,20.583333333333332
150000000,1143,60000,19.05
155000000,1123,60001,18.716666666666665
160000000,1092,60000,18.2
165000000,1077,60001,17.95
170000000,1065,60000,17.75
175000000,1090,60000,18.166666666666668
