label,operations,runTimeMs,ops
0,50600,60005,843.3333333333334
5000000,2274,60000,37.9
10000000,2065,60001,34.416666666666664
15000000,1464,60001,24.4
20000000,1314,60000,21.9
25000000,1464,60000,24.4
30000000,1110,60001,18.5
35000000,1224,60001,20.4
40000000,1098,60001,18.3
45000000,1137,60000,18.95
50000000,872,60000,14.533333333333333
55000000,873,60000,14.55
60000000,866,60000,14.433333333333334
65000000,778,60000,12.966666666666667
70000000,787,60000,13.116666666666667
75000000,866,60000,14.433333333333334
80000000,899,60000,14.983333333333333
85000000,803,60001,13.383333333333333
90000000,801,60001,13.35
95000000,805,60000,13.416666666666666
100000000,870,60000,14.5
105000000,862,60000,14.366666666666667
110000000,737,60000,12.283333333333333
115000000,877,60000,14.616666666666667
120000000,1057,60000,17.616666666666667
125000000,887,60000,14.783333333333333
130000000,849,60000,14.15
135000000,1019,60000,16.983333333333334
140000000,931,60000,15.516666666666667
145000000,823,60000,13.716666666666667
150000000,778,60000,12.966666666666667
155000000,917,60000,15.283333333333333
160000000,811,60001,13.516666666666667
165000000,724,60000,12.066666666666666
170000000,764,60001,12.733333333333333
175000000,714,60000,11.9
