label,totalMemoryUsage,totalDiskUsage,nodes,aliveNodes,avgMemoryUsage,avgDiskUsage
0,3233688,60,5,5,646737,12
5000000,9588224,1255532,5,5,1917644,251106
10000000,11053064,2484092,5,5,2210612,496818
15000000,10386080,3660444,5,5,2077216,732088
20000000,8267420,4904424,5,5,1653484,980884
25000000,11647000,6100168,5,5,2329400,1220033
30000000,11410572,7276600,5,5,2282114,1455320
35000000,13203648,8493968,5,5,2640729,1698793
40000000,13208388,9646628,5,5,2641677,1929325
45000000,13464040,10779256,5,5,2692808,2155851
50000000,11793104,11983128,5,5,2358620,2396625
55000000,15352468,13102508,5,5,3070493,2620501
60000000,12441144,14324596,5,5,2488228,2864919
65000000,11788628,15411468,5,5,2357725,3082293
70000000,13053808,16602448,5,5,2610761,3320489
75000000,13826368,17790996,5,5,2765273,3558199
80000000,15689388,18956144,5,5,3137877,3791228
85000000,14753516,20182224,5,5,2950703,4036444
90000000,15827736,23267140,5,5,3165547,4653428
95000000,14403500,22466140,5,5,2880700,4493228
100000000,14192304,23629792,5,5,2838460,4725958
105000000,14729240,24843532,5,5,2945848,4968706
110000000,15010352,25972808,5,5,3002070,5194561
115000000,16507112,26838356,5,5,3301422,5367671
120000000,14583276,27270568,5,5,2916655,5454113
125000000,14036300,28483880,5,5,2807260,5696776
130000000,17950760,29705568,5,5,3590152,5941113
135000000,15318048,30922004,5,5,3063609,6184400
140000000,16184172,32103640,5,5,3236834,6420728
145000000,17336516,33226804,5,5,3467303,6645360
150000000,16441796,34400412,5,5,3288359,6880082
155000000,15991348,35609736,5,5,3198269,7121947
160000000,16911408,36754176,5,5,3382281,7350835
165000000,18505980,37954492,5,5,3701196,7590898
170000000,18547760,39160360,5,5,3709552,7832072
175000000,18365552,40361120,5,5,3673110,8072224
